"Conditions","Bedingungen"
"Dynamic Category Product Relater","Dynamische Kategorie-Produkt Zuordnung"
"Please choose a category first.","Bitte wählen Sie zuerst eine Kategorie aus."
"Product attribute combination","Produktattribut-Kombination"
"Please choose a condition to add...","Bitte wählen Sie eine Bedingung aus..."
"If %s of these conditions are %s:","Wenn %s von diesen Bedingungen %s sind:"
"ALL","ALLE"
"ANY","IRGENDWELCHE"
"TRUE","WAHR"
"FALSE","FALSCH"
"FOUND","GEFUNDEN"
"NOT FOUND","NICHT GEFUNDEN"
"If an product is %s in the catalog with %s of these conditions true:","Wenn ein Produkt im Katalog %s wird und %s der folgenden Bedingungen erfüllt:"
"Conditions Combination","Bedingungskombination"
"Product Attribute","Produkt-Attribut"
"Attribute Set","Attribut-Set"
"Category","Kategorie"
"Product Type","Produkt-Typ"
"Product Created At","Produkt Erstellt am"
"Product Updated At","Produkt Aktualisiert am"
