"Conditions","Condities"
"Dynamic Category Product Relater","Dynamische Categorie Product Relaties"
"Please choose a category first.","Kies eerst een categorie."
"Product attribute combination","Product attribuut combinatie"
"Please choose a condition to add...","Kies een conditieom toe te passen ..."
"If %s of these conditions are %s:","Als %s van deze condities %s is:"
"ALL","ALLE"
"ANY","IEDER"
"TRUE","WAAR"
"FALSE","NIET WAAR"
"FOUND","GEVONDEN"
"NOT FOUND","NIET GEVONDEN"
"If an product is %s in the catalog with %s of these conditions true:","Als een product %s is in de catalogus waarbij %s condities waar zijn :"
"Conditions Combination","Conditie combinatie"
"Product Attribute","Product attribuut"
"Attribute Set","Attribuut set"
"Category","Categorie"
